DATE,vwretd,vwretx
20101006,-0.000339,-0.000674
20101007,-0.002128,-0.002144
20101008,0.007610,0.007606
20101011,0.000551,0.000551
20101012,0.003650,0.003647
20101013,0.008787,0.008649
20101014,-0.003666,-0.003674
20101015,0.000692,0.000690
20101018,0.006291,0.006271
20101019,-0.017204,-0.017208
20101020,0.011262,0.011147
20101021,0.000273,0.000234
20101022,0.002649,0.002608
20101025,0.003706,0.003699
20101026,-0.000424,-0.000425
20101027,-0.003315,-0.003479
20101028,0.001141,0.001030
20101029,0.001651,0.001632
20101101,0.000146,0.000120
20101102,0.009039,0.009015
20101103,0.003450,0.003294
20101104,0.019921,0.019768
20101105,0.004016,0.003970
20101108,-0.000913,-0.001020
20101109,-0.008473,-0.008729
20101110,0.005429,0.005222
20101111,-0.003622,-0.003622
20101112,-0.013380,-0.013454
20101115,-0.001327,-0.001376
20101116,-0.016845,-0.017057
20101117,0.001617,0.001485
20101118,0.015554,0.015525
20101119,0.003741,0.003616
20101122,-0.000282,-0.000330
20101123,-0.014127,-0.014164
20101124,0.015672,0.015637
20101126,-0.006879,-0.007055
20101129,-0.000912,-0.001140
20101130,-0.005781,-0.005818
20101201,0.020822,0.020667
20101202,0.012222,0.012198
20101203,0.003947,0.003850
20101206,0.000020,-0.000027
20101207,0.000188,0.000150
20101208,0.001551,0.001318
20101209,0.003569,0.003495
20101210,0.006429,0.006403
20101213,0.000199,-0.000065
20101214,0.000287,0.000244
20101215,-0.005248,-0.005296
20101216,0.005851,0.005697
20101217,0.001558,0.001482
20101220,0.001822,0.001796
20101221,0.007182,0.006978
20101222,0.003143,0.002931
20101223,-0.001189,-0.001292
20101227,0.000674,0.000629
20101228,0.000794,0.000733
20101229,0.002732,0.002491
20101230,-0.000806,-0.000837
20101231,-0.000238,-0.000270
20110103,0.011210,0.011179
20110104,-0.003892,-0.003936
20110105,0.005377,0.005294
20110106,-0.002525,-0.002767
20110107,-0.001951,-0.001953
20110110,-0.000719,-0.000720
20110111,0.005026,0.005020
20110112,0.009025,0.008914
20110113,-0.001890,-0.001894
20110114,0.006641,0.006617
20110118,0.002163,0.002144
20110119,-0.012235,-0.012328
20110120,-0.003819,-0.003825
20110121,0.001273,0.001255
20110124,0.006287,0.006247
20110125,-0.000439,-0.000458
20110126,0.007329,0.007298
20110127,0.002118,0.002014
20110128,-0.017223,-0.017279
20110131,0.007617,0.007614
20110201,0.017010,0.016978
20110202,-0.002223,-0.002371
20110203,0.002934,0.002788
20110204,0.002164,0.002144
20110207,0.006126,0.006112
20110208,0.004566,0.004360
20110209,-0.003436,-0.003556
20110210,0.001327,0.001267
20110211,0.006111,0.005948
20110214,0.003393,0.003261
20110215,-0.003186,-0.003278
20110216,0.007520,0.007359
20110217,0.003951,0.003851
20110218,0.001230,0.001212
20110222,-0.021042,-0.021053
20110223,-0.006547,-0.006587
20110224,-0.000137,-0.000311
20110225,0.012923,0.012726
20110228,0.005337,0.005291
20110301,-0.014895,-0.014929
20110302,0.002836,0.002691
20110303,0.016081,0.016032
20110304,-0.005898,-0.005912
20110307,-0.009395,-0.009422
20110308,0.008077,0.007931
